term,estimate,std.error,statistic,p.value,month
dateN,-3.810028394755279e-4,9.060587314804946e-4,5309,5.111341291125882e-5,1
dateN,5.985953439848033e-4,0.0012263120463640023,10915,7.6152543504485665e-05,2
dateN,5.831141345379006e-4,0.002759666463598575,10259,0.0025351965489777586,3
dateN,0.0013055542750555161,0.004273885726458077,10973,5.366841419653844e-5,4
dateN,0.004832392822384389,0.004128717106440676,13839,4.1846903183333434e-16,5
dateN,-0.0012272031972235613,0.0049070709071310625,6174,0.0048802306492380775,6
dateN,5.750528423177808e-4,0.0048520847762218424,8335,0.7866230049087508,7
dateN,1.878880334977989e-4,0.004873175164394486,8074,0.9197819613197165,8
dateN,3.0603866523783803e-4,0.0025792100929382606,9339,0.08821308188402383,9
dateN,-0.0011284974563955893,0.003091906956988241,5920,0.0014846326489175107,10
dateN,-8.745717111191586e-4,0.001451000062816318,3351,7.517512252243996e-12,11
dateN,9.993916017664803e-4,9.570379734667127e-4,13035,2.8568864409703126e-12,12
