This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"CWEH","EASTEND CYPR",-108.9800,49.4300,1078,"ASOS","245"
"CWKO","ROCKGLEN (MA",-105.9800,49.1700,257,"ASOS","362"
"CWNC","COBOURG (MAR",-78.1700,43.9500,116,"ASOS","407"
"CWPK","PARENT (MARS",-74.6200,47.9200,59,"ASOS","445"
"CWQP","POINT PETRE",-77.1500,43.8300,130,"ASOS","465"
"CWSS","ST. STEPHEN",-67.2500,45.2000,26,"ASOS","505"
"CYBG","BAGOTVILLE(C",-71.0000,48.3300,153,"ASOS","720"
"CYBR","BRANDON AIRP",-99.9500,49.9200,110,"ASOS","724"
"CYEN","ESTEVAN AIRP",-102.9700,49.2200,133,"ASOS","754"
"CYFC","FREDERICTON",-66.5300,45.8700,117,"ASOS","759"
"CYHE","HOPE AIRPORT",-121.4800,49.3700,148,"ASOS","779"
"CYMT","CHIBOUGAMAU-",-74.5300,49.7700,103,"ASOS","819"
"CYOW","OTTAWA INTL",-75.6700,45.3200,209,"ASOS","831"
"CYPG","PORTAGE SOUT",-98.2700,49.9000,269,"ASOS","837"
"CYPQ","PETERBOROUGH",-78.3700,44.2300,80,"ASOS","841"
"CYQG","WINDSOR AIRP",-82.9700,42.2700,288,"ASOS","852"
"CYQK","KENORA AIRPO",-94.3700,49.7800,216,"ASOS","855"
"CYQQ","COMOX (CAN-M",-124.9000,49.7200,181,"ASOS","858"
"CYQT","THUNDER BAY",-89.3200,48.3700,56,"ASOS","860"
"CYSB","SUDBURY AIRP",-80.8000,46.6200,157,"ASOS","875"
"CYSC","SHERBROOKE A",-71.6800,45.4300,67,"ASOS","876"
"CYTR","TRENTON (CAN",-77.5300,44.1200,139,"ASOS","894"
"CYTS","TIMMINS AIRP",-81.3700,48.5700,135,"ASOS","895"
"CYUL","MONTREAL/DOR",-73.7500,45.4700,245,"ASOS","902"
"CYUY","ROUYN AIRPOR",-78.8300,48.2000,135,"ASOS","908"
"CYVO","VAL D'OR AIR",-77.7800,48.0700,134,"ASOS","911"
"CYVR","VANCOUVER IN",-123.1700,49.1800,152,"ASOS","914"
"CYVV","WIARTON AIRP",-81.1000,44.7500,116,"ASOS","916"
"CYWA","PETAWAWA A,O",-77.3200,45.9500,62,"ASOS","917"
"CYWG","WINNIPEG INT",-97.2300,49.9000,149,"ASOS","918"
"CYXC","CRANBROOK AI",-115.7800,49.6000,202,"ASOS","926"
"CYXU","LONDON AIRPO",-81.1500,43.0300,167,"ASOS","938"
"CYXX","ABBOTSFORD A",-122.3700,49.0300,58,"ASOS","939"
"CYYB","NORTH BAY AI",-79.4300,46.3500,170,"ASOS","942"
"CYYF","PENTICTON AI",-119.6000,49.4700,298,"ASOS","946"
"CYYJ","VICTORIA INT",-123.4300,48.6500,127,"ASOS","949"
"CYYU","KAPUSKASING",-82.4700,49.4200,147,"ASOS","955"
"CYYY","MONT JOLI AI",-68.2200,48.6000,171,"ASOS","957"
"CYYZ","TORONTO/PEAR",-79.6300,43.6700,237,"ASOS","958"
"CYZE","GORE BAY AIR",-82.5700,45.8800,98,"ASOS","959"
"CZPC","PINCHER CREE",-114.0000,49.5200,156,"ASOS","993"
"K2C2","WHITE SANDS",-106.4833,32.3833,1244,"ASOS","2360"
"K5L8","LONG BEACH",-118.1667,33.7667,3,"ASOS","2522"
"KAAF","APALACHICOLA",-85.0247,29.7269,6,"ASOS","2661"
"KABE","ALLENTOWN-BE",-75.4492,40.6508,120,"ASOS","2664"
"KABI","ABILENE MUNI",-99.6817,32.4103,545,"ASOS","2666"
"KABQ","ALBUQUERQUE",-106.6147,35.0417,1631,"ASOS","2667"
"KABY","ALBANY MUNIC",-84.1944,31.5356,60,"ASOS","2670"
"KACT","WACO-MADISON",-97.2278,31.6172,157,"ASOS","2675"
"KACY","ATLANTIC CIT",-74.5867,39.4647,23,"ASOS","2677"
"KADW","ANDREWS AFB",-76.8700,38.8200,86,"ASOS","2685"
"KAEX","ALEXANDRIA I",-92.5586,31.3347,27,"ASOS","2689"
"KAGC","PITTSBURGH/A",-79.9217,40.3547,382,"ASOS","2696"
"KAGS","AUGUSTA/BUSH",-81.9633,33.3644,44,"ASOS","2698"
"KAHN","ATHENS MUNIC",-83.3281,33.9508,246,"ASOS","2699"
"KALB","ALBANY COUNT",-73.7989,42.7467,86,"ASOS","2714"
"KALI","ALICE INTL A",-98.0269,27.7411,54,"ASOS","2715"
"KALO","WATERLOO MUN",-92.4011,42.5544,266,"ASOS","2719"
"KALS","ALAMOSA MUNI",-105.8614,37.4389,2297,"ASOS","2720"
"KALW","WALLA WALLA",-118.2842,46.0950,367,"ASOS","2721"
"KAMA","AMARILLO ARP",-101.7172,35.2200,1099,"ASOS","2723"
"KANB","ANNISTON/CAL",-85.8475,33.5906,186,"ASOS","2728"
"KANJ","SAULT STE MA",-84.3572,46.4794,210,"ASOS","2731"
"KAOO","ALTOONA/BLAI",-78.3169,40.3000,458,"ASOS","2735"
