This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"CMBB","CHATHAM BROW",-74.4167,45.6167,75,"ASOS","129"
"CWAJ","ERIEAU (MAPS",-81.9000,42.2500,70,"ASOS","174"
"CWCI","CARIBOU ISL",-85.8300,47.3300,187,"ASOS","205"
"CWDV","UPSALA (MARS",-90.4700,49.0300,31,"ASOS","237"
"CWGD","GODERICH (AU",-81.7200,43.7700,47,"ASOS","280"
"CWNB","S.E. SHOAL (",-82.4700,41.8300,195,"ASOS","406"
"CWNH","RIVIERE DU L",-69.5500,47.8000,47,"ASOS","410"
"CWNZ","NAGAGAMI (MA",-84.1700,49.7500,256,"ASOS","423"
"CWPC","PORT COLBORN",-79.2500,42.8700,64,"ASOS","438"
"CWPK","PARENT (MARS",-74.6200,47.9200,29,"ASOS","445"
"CWPO","PILOT MOUND",-98.9000,49.2000,23,"ASOS","447"
"CWSS","ST. STEPHEN",-67.2500,45.2000,26,"ASOS","505"
"CYAM","SAULT STE MA",-84.5200,46.4800,192,"ASOS","712"
"CYBG","BAGOTVILLE(C",-71.0000,48.3300,33,"ASOS","720"
"CYBR","BRANDON AIRP",-99.9500,49.9200,24,"ASOS","724"
"CYEN","ESTEVAN AIRP",-102.9700,49.2200,20,"ASOS","754"
"CYFC","FREDERICTON",-66.5300,45.8700,54,"ASOS","759"
"CYGQ","GERALDTON AI",-86.9300,49.7800,27,"ASOS","770"
"CYHU","SAINT HUBERT",-73.4200,45.5200,46,"ASOS","784"
"CYKZ","TORONTO BUTT",-79.3700,43.8700,69,"ASOS","802"
"CYMT","CHIBOUGAMAU-",-74.5300,49.7700,32,"ASOS","819"
"CYOW","OTTAWA INTL",-75.6700,45.3200,69,"ASOS","831"
"CYPG","PORTAGE SOUT",-98.2700,49.9000,269,"ASOS","837"
"CYPQ","PETERBOROUGH",-78.3700,44.2300,40,"ASOS","841"
"CYQG","WINDSOR AIRP",-82.9700,42.2700,79,"ASOS","852"
"CYQK","KENORA AIRPO",-94.3700,49.7800,48,"ASOS","855"
"CYQQ","COMOX (CAN-M",-124.9000,49.7200,48,"ASOS","858"
"CYQT","THUNDER BAY",-89.3200,48.3700,37,"ASOS","860"
"CYRJ","ROBERVAL AIR",-72.2700,48.5200,59,"ASOS","869"
"CYSB","SUDBURY AIRP",-80.8000,46.6200,49,"ASOS","875"
"CYSC","SHERBROOKE A",-71.6800,45.4300,52,"ASOS","876"
"CYSL","SAINT LEONAR",-67.8300,47.1500,241,"ASOS","881"
"CYTR","TRENTON (CAN",-77.5300,44.1200,51,"ASOS","894"
"CYTS","TIMMINS AIRP",-81.3700,48.5700,39,"ASOS","895"
"CYUL","MONTREAL/DOR",-73.7500,45.4700,78,"ASOS","902"
"CYUY","ROUYN AIRPOR",-78.8300,48.2000,39,"ASOS","908"
"CYVO","VAL D'OR AIR",-77.7800,48.0700,37,"ASOS","911"
"CYVR","VANCOUVER IN",-123.1700,49.1800,58,"ASOS","914"
"CYVV","WIARTON AIRP",-81.1000,44.7500,45,"ASOS","916"
"CYWA","PETAWAWA A,O",-77.3200,45.9500,45,"ASOS","917"
"CYWG","WINNIPEG INT",-97.2300,49.9000,27,"ASOS","918"
"CYXC","CRANBROOK AI",-115.7800,49.6000,67,"ASOS","926"
"CYXU","LONDON AIRPO",-81.1500,43.0300,53,"ASOS","938"
"CYXX","ABBOTSFORD A",-122.3700,49.0300,58,"ASOS","939"
"CYYB","NORTH BAY AI",-79.4300,46.3500,56,"ASOS","942"
"CYYF","PENTICTON AI",-119.6000,49.4700,94,"ASOS","946"
"CYYJ","VICTORIA INT",-123.4300,48.6500,47,"ASOS","949"
"CYYU","KAPUSKASING",-82.4700,49.4200,33,"ASOS","955"
"CYYY","MONT JOLI AI",-68.2200,48.6000,48,"ASOS","957"
"CYYZ","TORONTO/PEAR",-79.6300,43.6700,68,"ASOS","958"
"CYZE","GORE BAY AIR",-82.5700,45.8800,33,"ASOS","959"
"CZPC","PINCHER CREE",-114.0000,49.5200,90,"ASOS","993"
"K2C2","WHITE SANDS",-106.4833,32.3833,1244,"ASOS","2360"
"K5L8","LONG BEACH",-118.1667,33.7667,3,"ASOS","2522"
"KABE","ALLENTOWN-BE",-75.4492,40.6508,120,"ASOS","2664"
"KABI","ABILENE MUNI",-99.6817,32.4103,545,"ASOS","2666"
"KABQ","ALBUQUERQUE",-106.6147,35.0417,1631,"ASOS","2667"
"KABR","ABERDEEN REG",-98.4131,45.4433,396,"ASOS","2668"
"KABY","ALBANY MUNIC",-84.1944,31.5356,60,"ASOS","2670"
"KACT","WACO-MADISON",-97.2278,31.6172,157,"ASOS","2675"
"KACV","ARCATA/EUREK",-124.1086,40.9781,66,"ASOS","2676"
